N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y,
04-2011-0274,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,1,HUTB-000096,4,2.139646922,41.3833622,
04-2011-0275,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,2,HUTB-000097,4,2.139646922,41.3833622,
04-2011-0276,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,3,HUTB-000098,4,2.139646922,41.3833622,
04-2011-0277,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,1,HUTB-000099,4,2.139646922,41.3833622,
04-2011-0278,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,2,HUTB-000100,4,2.139646922,41.3833622,
04-2011-0279,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,3,HUTB-000101,4,2.139646922,41.3833622,
04-2011-0280,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,4,1,HUTB-000102,4,2.139646922,41.3833622,
04-2011-0281,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,4,3,HUTB-000103,4,2.139646922,41.3833622,
04-2011-0282,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,5,1,HUTB-000104,5,2.139646922,41.3833622,
02-2011-1278,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SARDENYA,1,319,,,,,,,AT,1,HUTB-001719,4,2.171378808,41.4020459,
02-2011-1281,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,1,HUTB-005297,13,2.163513536,41.39196953,
02-2011-1282,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,2,HUTB-001280,11,2.163513536,41.39196953,
02-2011-1283,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,3,HUTB-001281,10,2.163513536,41.39196953,
09-2011-0397,9,SANT ANDREU,60,Sant Andreu,Carrer,MOSSEN QUINTI MALLOFRE,2,22,,,,,,,1,,HUTB-002383,13,2.192425013,41.42852897,
03-2011-0328,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MARGARIT,2,40,,,,,,,2,2,HUTB-001110,7,2.162148111,41.37110006,
06-2012-0023,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT JOAQUIM,1,19,,21,,,,,BJ,2,HUTB-002220,6,2.154724778,41.39928273,
05-2012-0060,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,153,,,,,,,4,1,HUTB-003865,4,2.142537669,41.3971281,
10-2011-0503,10,SANT MARTI,65,el Clot,Carrer,VALENCIA,1,635,,,,,,,EN,,HUTB-001401,4,2.187126987,41.40969755,
02-2011-1342,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,COMTE BORRELL,2,134,,140,,,,,2,2,HUTB-003388,9,2.154846467,41.3807014,
02-2011-1341,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,28,,28,,,,,PR,3,HUTB-000325,11,2.173460494,41.40477315,
06-2011-0435,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,SARDENYA,1,415,,,,,,,3,,HUTB-001724,11,2.166274313,41.40592553,
10-2011-0460,10,SANT MARTI,68,el Poblenou,Passatge,PIQUER,2,2,,6,,,,,4,3,HUTB-002750,7,2.205875553,41.40079788,
02-2013-2217,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,213,,,,,,,EN,2,HUTB-008084,3,2.172737778,41.39760047,
02-2013-2216,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,213,,,,,,,EN,1,HUTB-008085,3,2.172737778,41.39760047,
07-2011-0152,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,AMILCAR,2,150,,,,,,,3,3,HUTB-003688,5,2.171643988,41.42061292,
02-2011-1382,2,L'EIXAMPLE,5,el Fort Pienc,Avinguda,DIAGONAL,1,299,B,,,,,,2,1,HUTB-003051,14,2.172727327,41.39799442,
02-2011-1383,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,324,,,,,,,1,2,HUTB-003418,20,2.166190349,41.39030229,
02-2011-1384,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MANSO,2,60,,,,,,,5,,HUTB-001094,5,2.160808441,41.37568639,
02-2011-1385,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,DIPUTACIO,1,123,,125,,,,,PR,,HUTB-003224,24,2.155577822,41.38088483,
10-2012-0007,10,SANT MARTI,65,el Clot,Avinguda,MERIDIANA,1,109,,,,,,,1,1,HUTB-000081,8,2.185461927,41.40601944,
02-2011-1174,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,I,2,1,HUTB-001296,9,2.169130249,41.39591373,
02-2011-1175,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,E,2,2,HUTB-001297,7,2.169130249,41.39591373,
02-2011-1176,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,I,3,2,HUTB-001298,8,2.169130249,41.39591373,
02-2011-1177,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,E,4,2,HUTB-001299,7,2.169130249,41.39591373,
02-2011-1178,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,2,734,,,,,,,6,1,HUTB-003608,10,2.177643306,41.39511155,
02-2011-1324,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,ARAGO,2,424,,,,,,E,7,2,HUTB-003753,8,2.174206395,41.39796297,
02-2011-1325,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,MALLORCA,2,362,,,,,,,1,1,HUTB-001047,3,2.170842633,41.39888989,
10-2012-0011,10,SANT MARTI,65,el Clot,Avinguda,MERIDIANA,1,109,,,,,,,1,2,HUTB-000082,5,2.185461927,41.40601944,
03-2011-0319,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,3,1,HUTB-000065,4,2.169444057,41.37066659,
03-2011-0320,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,2,1,HUTB-000066,4,2.169444057,41.37066659,
03-2011-0321,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,1,2,HUTB-000067,5,2.169444057,41.37066659,
03-2011-0323,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,EN,2,HUTB-000068,4,2.169444057,41.37066659,
02-2011-1179,2,L'EIXAMPLE,5,el Fort Pienc,Carrer,DIPUTACIO,2,418,,,,,,,3,2,HUTB-003215,5,2.178141143,41.39754971,
02-2011-1180,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,COMTE D'URGELL,1,109,,,,,,,2,2,HUTB-003399,7,2.154142665,41.38259313,
02-2011-1181,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROGER DE LLURIA,2,102,,,,,,,4,2,HUTB-002002,3,2.164080025,41.39423469,
02-2011-1183,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,ROSSELLO,1,425,,,,,,,1,3,HUTB-002063,5,2.1713498,41.40296848,
02-2011-1184,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Avinguda,JOSEP TARRADELLAS,2,40,,,,,,,1,1,HUTB-000930,8,2.141702712,41.38164519,
02-2011-0983,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,PR,1,HUTB-001550,5,2.160439275,41.37989305,
02-2011-0984,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,PR,4,HUTB-001551,5,2.160439275,41.37989305,
02-2011-0985,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,1,2,HUTB-001546,5,2.160439275,41.37989305,
02-2011-0989,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,1,4,HUTB-001536,5,2.160439275,41.37989305,
02-2011-0990,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,2,1,HUTB-001549,5,2.160439275,41.37989305,
02-2011-0991,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,2,2,HUTB-001548,5,2.160439275,41.37989305,
02-2011-0992,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,2,4,HUTB-001538,5,2.160439275,41.37989305,
02-2011-0994,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,3,1,HUTB-001552,5,2.160439275,41.37989305,
02-2011-0995,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,3,3,HUTB-001545,5,2.160439275,41.37989305,
02-2011-0997,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,3,4,HUTB-001544,5,2.160439275,41.37989305,
02-2011-0884,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Rambla,CATALUNYA,2,98,B,,,,,,2,3,HUTB-003304,7,2.159328178,41.39162909,
10-2011-0543,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Carrer,SELVA DE MAR,2,6,,,,,,,4,1,HUTB-001749,13,2.213224227,41.40344285,
02-2011-1122,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,26,,28,,,,,5,3,HUTB-000333,8,2.173460494,41.40477315,
02-2012-0013,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,149,,151,,,,,3,4,HUTB-002429,7,2.176133617,41.39503537,
10-2011-0514,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,2,3,HUTB-000244,8,2.178025838,41.408049,
10-2011-0515,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,AT,2,HUTB-000245,4,2.178025838,41.408049,
02-2011-1023,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,1,463,,,,,,,6,1,HUTB-001402,7,2.176384116,41.40163535,
02-2011-1029,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,3,1,HUTB-001537,5,2.160439275,41.37989305,
02-2011-1030,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,4,1,HUTB-001543,5,2.160439275,41.37989305,
02-2011-1031,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,4,2,HUTB-001553,4,2.160439275,41.37989305,
05-2012-0061,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,153,,,,,,1,5,1,HUTB-003866,4,2.142537669,41.3971281,
02-2011-0998,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,4,1,HUTB-001554,5,2.160439275,41.37989305,
02-2011-0999,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,4,2,HUTB-001542,5,2.160439275,41.37989305,
02-2011-1000,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,4,3,HUTB-001541,5,2.160439275,41.37989305,
02-2011-1001,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,D,4,4,HUTB-001540,5,2.160439275,41.37989305,
02-2011-1002,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,PR,1,HUTB-001539,5,2.160439275,41.37989305,
02-2011-1003,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,PR,2,HUTB-001547,4,2.160439275,41.37989305,
02-2011-1078,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Ronda,SANT PERE,1,33,,,,,,,AT,1,HUTB-002278,6,2.174752185,41.38843181,
02-2011-1079,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,PARAL.LEL,2,108,,,,,,,2,3,HUTB-002624,5,2.163220584,41.37332257,
10-2011-0544,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,TAULAT,1,283,,,,,,,21,3,HUTB-001823,11,2.214817323,41.40615368,
01-2011-0546,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,AT,,HUTB-000909,5,2.163610637,41.38162651,
10-2011-0516,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,AT,3,HUTB-000246,5,2.178025838,41.408049,
03-2011-0299,3,SANTS-MONTJUÏC,11,el Poble Sec,Avinguda,PARAL.LEL,1,15,,,,,,,4,5,HUTB-002580,10,2.17363945,41.37263322,
05-2011-0381,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,GUILLEM TELL,1,21,,,,,,,2,1,HUTB-000699,5,2.147923556,41.40080421,
02-2011-0885,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,BALMES,1,161,,,,,,,4,1,HUTB-003995,11,2.154373386,41.3927542,
02-2011-1004,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,1,2,HUTB-006496,5,2.160439275,41.37989305,
02-2011-1005,2,L'EIXAMPLE,10,Sant Antoni,Carrer,VILLARROEL,2,28,,,,,,E,2,2,HUTB-006497,4,2.160439275,41.37989305,
02-2011-1010,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,CARTAGENA,2,302,,,,,,,1,2,HUTB-002982,3,2.174809372,41.40826464,
10-2011-0517,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,2,2,HUTB-000247,6,2.178025838,41.408049,
10-2011-0518,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,AT,4,HUTB-000248,6,2.178025838,41.408049,
10-2011-0519,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,AT,1,HUTB-000249,7,2.178025838,41.408049,
10-2012-0022,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDEPENDENCIA,1,317,,,,,,,3,4,HUTB-000763,8,2.180347616,41.40726803,
05-2011-0368,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,95,,,,,,,1,2,HUTB-003857,6,2.148515156,41.39909821,
05-2011-0369,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,95,,,,,,,1,1,HUTB-003858,6,2.148515156,41.39909821,
10-2011-0369,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,120,,122,,,,,1,4,HUTB-002871,7,2.194735805,41.39601276,
10-2011-0415,10,SANT MARTI,68,el Poblenou,Passatge,PIQUER,2,2,,6,,,,,4,2,HUTB-002749,7,2.205875553,41.40079788,
02-2011-0850,2,L'EIXAMPLE,10,Sant Antoni,Avinguda,PARAL.LEL,2,106,,,,,,,AT,2,HUTB-002618,13,2.163220584,41.37332257,
02-2011-0852,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,PROVENÇA,1,383,,,,,,,5,1,HUTB-002830,4,2.170022049,41.40026875,
05-2012-0015,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,RIOS ROSAS,2,38,,,,,,,BJ,,HUTB-001666,4,2.142298611,41.40247085,
04-2011-0231,4,LES CORTS,19,les Corts,Carrer,DEU I MATA,2,142,,,,,,,1,,HUTB-003039,8,2.137536078,41.38819622,
10-2011-0513,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,FRESER,1,5,,,,,,,2,4,HUTB-000243,6,2.178025838,41.408049,
10-2011-0539,10,SANT MARTI,68,el Poblenou,Carrer,PUJADES,2,120,,122,,,,,2,2,HUTB-002870,7,2.194735805,41.39601276,
06-2011-0381,6,GRACIA,31,la Vila de Gràcia,Carrer,SENECA,1,15,,,,,,,2,C,HUTB-001762,3,2.155427027,41.39513556,
10-2011-0356,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Carrer,JOAN D'AUSTRIA,1,51,,,,,,A,6,2,HUTB-000848,5,2.190822493,41.39070982,
02-2011-0969,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VALENCIA,2,32,,34,,,,,1,1,HUTB-001379,6,2.145743824,41.37830546,
02-2011-0970,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VALENCIA,2,32,,34,,,,,1,2,HUTB-001380,6,2.145743824,41.37830546,
02-2011-0971,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VALENCIA,2,32,,34,,,,,2,1,HUTB-001381,6,2.145743824,41.37830546,
02-2011-0972,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VALENCIA,2,32,,34,,,,,2,2,HUTB-001382,6,2.145743824,41.37830546,
02-2011-0973,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VALENCIA,2,32,,34,,,,,3,1,HUTB-001383,6,2.145743824,41.37830546,
05-2012-0016,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,RIOS ROSAS,2,36,,,,,,,BJ,,HUTB-001665,5,2.142298611,41.40247085,
02-2011-0907,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,MUNTANER,1,87,,89,,,,,2,2,HUTB-002406,11,2.155814498,41.38652438,
02-2011-0908,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,329,,,,,,,EN,2,HUTB-001282,3,2.16784011,41.39522839,
01-2011-0409,1,CIUTAT VELLA,2,el Barri Gòtic,Carrer,AVINYO,2,58,,,,,,,PR,3B,HUTB-013215,10,2.178187066,41.37834052,
05-2011-0304,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,BALLESTER,2,28,,,,,,,BJ,1,HUTB-003962,9,2.144939657,41.40511851,
05-2011-0416,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Carrer,ARIBAU,2,226,,,,,,D,3,,HUTB-003811,14,2.14943453,41.3933219,
01-2011-0547,1,CIUTAT VELLA,1,el Raval,Carrer,JOAQUIN COSTA,1,53,,,,,,,3,,HUTB-000911,8,2.163610637,41.38162651,
10-2013-0028,10,SANT MARTI,68,el Poblenou,Carrer,TORTELLA,1,3,,,,,,,2,1,HUTB-005001,4,2.206987042,41.40128645,
05-2011-0278,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,VALLIRANA,1,29,,,,,,,1,C,HUTB-001454,4,2.146905552,41.40200445,
10-2011-0533,10,SANT MARTI,68,el Poblenou,Carrer,FERROCARRIL,1,27,,,,,,,4,1,HUTB-000173,4,2.205967248,41.39695923,
10-2011-0534,10,SANT MARTI,68,el Poblenou,Carrer,FERROCARRIL,1,27,,,,,,,4,2,HUTB-000174,4,2.205967248,41.39695923,
02-2012-0016,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,VALENCIA,2,544,,,,,,,6,3,HUTB-001375,8,2.180910123,41.40473808,
02-2011-1307,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROGER DE LLURIA,2,40,,,,,,,2,1,HUTB-001989,7,2.169381618,41.39018699,
02-2011-1233,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,VILADOMAT,1,191,,,,,,,1,4,HUTB-001529,6,2.15102114,41.38161094,
02-2011-1267,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,AUSIAS MARC,2,20,,,,,,,4,2,HUTB-003878,5,2.174056663,41.38901534,
02-2011-1266,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,AUSIAS MARC,2,20,,,,,,,4,1,HUTB-003877,4,2.174056663,41.38901534,
02-2011-1270,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,PELAI,1,5,,,,,,,1,1B,HUTB-002673,5,2.16502717,41.38404475,
02-2011-0941,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROGER DE LLURIA,1,55,,,,,,,PR,2,HUTB-002000,7,2.166964356,41.39173342,
02-2011-1096,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,26,,28,,,,,2,1,HUTB-000330,9,2.173460494,41.40477315,
02-2011-1097,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,26,,28,,,,A,2,3,HUTB-000331,7,2.173460494,41.40477315,
02-2011-1098,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,26,,28,,,,A,3,3,HUTB-000332,9,2.173460494,41.40477315,
02-2011-1091,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,LEPANT,1,293,,,,,,,1,1,HUTB-001004,8,2.173907895,41.40371668,
02-2011-1215,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,PR,1,HUTB-005541,3,2.156105738,41.38951425,
02-2011-1216,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,PR,2,HUTB-005555,3,2.156105738,41.38951425,
02-2011-1217,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,1,1,HUTB-005542,3,2.156105738,41.38951425,
02-2011-1218,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,1,2,HUTB-005543,3,2.156105738,41.38951425,
02-2011-1050,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,VILLARROEL,2,142,,,,,,,3,,HUTB-001556,10,2.153326634,41.38526225,
10-2012-0003,10,SANT MARTI,67,la Vila Olímpica del Poblenou,Carrer,RAMON TURRO,2,48,,50,,,,,BJ,1,HUTB-002887,4,2.192128766,41.39065704,
08-2012-0004,8,NOU BARRIS,44,Vilapicina i la Torre Llobeta,Carrer,COSTA I CUXART,2,4,,,,,,,1,2,HUTB-003006,5,2.172974217,41.42582884,
02-2011-1308,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,ROGER DE LLURIA,2,40,,,,,,,4,4,HUTB-001990,6,2.169381618,41.39018699,
02-2011-1309,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Gran Via,CORTS CATALANES,1,561,,,,,,D,EN,,HUTB-003572,18,2.159923814,41.38245758,
10-2011-0545,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,GARCIA FARIA,1,73,,75,,,,,25,3,HUTB-000299,15,2.214219692,41.40312153,
03-2011-0326,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,1,1,HUTB-000069,5,2.169444057,41.37066659,
03-2011-0327,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MATA,2,24,,,,,,,3,2,HUTB-000070,3,2.169444057,41.37066659,
02-2011-1244,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,2,732,,,,,,,5,2,HUTB-003607,8,2.1774947,41.3950008,
06-2011-0421,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT DOMENEC,1,11,,,,,,,1,2,HUTB-002187,5,2.155486749,41.39808467,
06-2011-0369,6,GRACIA,31,la Vila de Gràcia,Carrer,SENECA,1,15,,,,,,,2,D,HUTB-001761,4,2.155427027,41.39513556,
05-2012-0062,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,153,,,,,,1,6,1,HUTB-003867,4,2.142537669,41.3971281,
02-2011-1099,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,MARINA,2,258,,,,,,,PR,,HUTB-001132,7,2.175058518,41.40146959,
05-2011-0288,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,BALLESTER,2,30,,,,,,,BJ,1,HUTB-003964,9,2.144939657,41.40511851,
03-2011-0309,3,SANTS-MONTJUÏC,14,la Font de la Guatlla,Carrer,SANT GERMA,2,8,,,,,,,3,,HUTB-002198,9,2.145317525,41.37019826,
02-2011-1219,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,2,1,HUTB-005544,3,2.156105738,41.38951425,
02-2011-1220,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,2,2,HUTB-005546,3,2.156105738,41.38951425,
02-2011-1221,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,3,1,HUTB-005547,3,2.156105738,41.38951425,
02-2011-1222,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,PROVENÇA,2,232,,,,,,,3,2,HUTB-005548,3,2.156105738,41.38951425,
10-2011-0425,10,SANT MARTI,68,el Poblenou,Carrer,VENERO,2,8,,,,,,,2,2,HUTB-001463,8,2.200687562,41.39970211,
10-2011-0563,10,SANT MARTI,66,el Parc i la Llacuna del Poblenou,Carrer,LLULL,1,23,,,,,,,EN,2,HUTB-001028,8,2.188636052,41.39020692,
10-2012-0019,10,SANT MARTI,69,Diagonal Mar i el Front Marítim del Poblenou,Passeig,GARCIA FARIA,1,69,,71,,,,,9,2,HUTB-000301,8,2.212989716,41.40218778,
10-2011-0529,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,1,201,,203,,,,,2,1,HUTB-000818,6,2.175740959,41.40967836,
02-2011-0929,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,MALLORCA,2,246,,,,,,,AT,,HUTB-001046,6,2.160914737,41.39144029,
02-2011-0960,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,BRUC,2,136,,,,,,,4,2,HUTB-004084,20,2.164953101,41.39523498,
02-2011-1337,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,ROSSELLO,2,458,B,,,,,,3,3,HUTB-002077,5,2.175377263,41.40572017,
07-2011-0216,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,ART,1,97,,,,,,,3,2,HUTB-003855,4,2.17317505,41.41687947,
10-2011-0423,10,SANT MARTI,68,el Poblenou,Carrer,VENERO,2,8,,,,,,,BJ,2,HUTB-001461,8,2.200687562,41.39970211,
10-2011-0424,10,SANT MARTI,68,el Poblenou,Carrer,VENERO,2,8,,,,,,,1,2,HUTB-001462,8,2.200687562,41.39970211,
04-2012-0011,4,LES CORTS,19,les Corts,Carrer,CABALLERO,2,60,,,,,,,AT,4,HUTB-004106,6,2.136367552,41.3816781,
10-2011-0531,10,SANT MARTI,68,el Poblenou,Carrer,FERROCARRIL,1,27,,,,,,,1,1,HUTB-000171,4,2.205967248,41.39695923,
10-2011-0426,10,SANT MARTI,68,el Poblenou,Carrer,VENERO,2,8,,,,,,,2,1,HUTB-001464,8,2.200687562,41.39970211,
